Question,Code,Plain Text
"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

You can return the answer in any order.

 

Example 1:

Input: nums = [2,7,11,15], target = 9
Output: [0,1]
Explanation: Because nums[0] + nums[1] == 9, we return [0, 1].","class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        prevMap = {}  # val -> index

        for i, n in enumerate(nums):
            diff = target - n
            if diff in prevMap:
                return [prevMap[diff], i]
            prevMap[n] = i","Use hashing. Go through the list of numbers, remember each number's position in a dictionary. For each number, check if the difference between the target and the current number exists in the dictionary. If it does, we've found the pair that adds up to the target, return their indices."
"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.

 

Example 1:

Input: s = ""anagram"", t = ""nagaram""
Output: true","class Solution:
    def isAnagram(self, s: str, t: str) -> bool:
        if len(s) != len(t):
            return False

        countS, countT = {}, {}

        for i in range(len(s)):
            countS[s[i]] = 1 + countS.get(s[i], 0)
            countT[t[i]] = 1 + countT.get(t[i], 0)
        return countS == countT","
Use hashing. Go through both strings, remembering the count of each character in separate dictionaries for each string. For every character encountered in both strings, increment its count in the respective dictionaries. Once the traversal is complete, compare the dictionaries. If they are equal, it means both strings have the same characters with the same counts, indicating that one is an anagram of the other. Return true if the dictionaries are equal, otherwise return false."
"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

Given a string s, return true if it is a palindrome, or false otherwise.

 

Example 1:

Input: s = ""A man, a plan, a canal: Panama""
Output: true
Explanation: ""amanaplanacanalpanama"" is a palindrome.","class Solution:
    def isPalindrome(self, s: str) -> bool:
        new = ''
        for a in s:
            if a.isalpha() or a.isdigit():
                new += a.lower()
        return (new == new[::-1])
","Iterate through the string, converting uppercase letters to lowercase and removing non-alphanumeric characters. For each alphanumeric character encountered, append it to a new string. After completing the traversal, compare the new string with its reverse. If they match, the original string is a palindrome, so return true; otherwise, return false."
"You are given an array prices where prices[i] is the price of a given stock on the ith day.

You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.

Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.

 

Example 1:

Input: prices = [7,1,5,3,6,4]
Output: 5
Explanation: Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.
Note that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell.","class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        res = 0
        
        lowest = prices[0]
        for price in prices:
            if price < lowest:
                lowest = price
            res = max(res, price - lowest)
        return res
","Iterate through the array of stock prices, keep track of the lowest price seen so far. Calculate the potential profit for each subsequent day by subtracting the lowest price from the current price. Update the maximum profit seen so far if the potential profit is greater. Return the maximum profit achieved."
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:

Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Every close bracket has a corresponding open bracket of the same type.
 

Example 1:

Input: s = ""()""
Output: true
Example 2:

Input: s = ""()[]{}""
Output: true","class Solution:
    def isValid(self, s: str) -> bool:
        Map = {"")"": ""("", ""]"": ""["", ""}"": ""{""}
        stack = []

        for c in s:
            if c not in Map:
                stack.append(c)
                continue
            if not stack or stack[-1] != Map[c]:
                return False
            stack.pop()

        return not stack
","Use a stack to keep track of opening brackets. As we go through the string, push opening brackets onto the stack and pop them off when we encounter their corresponding closing brackets. If the stack is empty at the end, the string is valid; otherwise, it's not."
"Given an array of strings strs, group all anagrams together into sublists. You may return the output in any order.
An anagram is a string that contains the exact same characters as another string, but the order of the characters can be different.

Example : 1
Input: strs = [""act"",""pots"",""tops"",""cat"",""stop"",""hat""]
Output: [[""hat""],[""act"", ""cat""],[""stop"", ""pots"", ""tops""]]
","class Solution:
    def groupAnagrams(self, strs: List[str]) -> List[List[str]]:
        ans = defaultdict(list)

        for s in strs:
            count = [0] * 26
            for c in s:
                count[ord(c) - ord(""a"")] += 1
            ans[tuple(count)].append(s)
        return ans.values()
","To group anagrams from a list of strings, create a defaultdict of lists. For each string, generate a character count tuple representing the frequency of each letter. Use this tuple as the key to group anagrams together. The result is a list of grouped anagrams."
"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] where nums[i] + nums[j] + nums[k] == 0, and the indices i, j and k are all distinct.
The output should not contain any duplicate triplets. You may return the output and the triplets in any order.
Example 1:
Input: nums = [-1,0,1,2,-1,-4]

Output: [[-1,-1,2],[-1,0,1]]","class Solution:
    def threeSum(self, nums: List[int]) -> List[List[int]]:
        res = []
        nums.sort()

        for i, a in enumerate(nums):
            if a > 0:
                break

            if i > 0 and a == nums[i - 1]:
                continue

            l, r = i + 1, len(nums) - 1
            while l < r:
                threeSum = a + nums[l] + nums[r]
                if threeSum > 0:
                    r -= 1
                elif threeSum < 0:
                    l += 1
                else:
                    res.append([a, nums[l], nums[r]])
                    l += 1
                    r -= 1
                    while nums[l] == nums[l - 1] and l < r:
                        l += 1
                        
        return res
","To find all unique triplets in an array that sum to zero, sort the array first. Iterate through the array, using two pointers (left and right) to find pairs that sum to the negative of the current element. Skip duplicate elements to avoid repeating triplets. The result is a list of these unique triplets."
"
You are given a string s consisting of only uppercase english characters and an integer k. You can choose up to k characters of the string and replace them with any other uppercase English character.
After performing at most k replacements, return the length of the longest substring which contains only one distinct character.
Example 1:
Input: s = ""XYYX"", k = 2
Output: 4
","class Solution:
    def characterReplacement(self, s: str, k: int) -> int:
        count = {}
        
        l = 0
        maxf = 0
        for r in range(len(s)):
            count[s[r]] = 1 + count.get(s[r], 0)
            maxf = max(maxf, count[s[r]])

            if (r - l + 1) - maxf > k:
                count[s[l]] -= 1
                l += 1

        return (r - l + 1)
","To find the length of the longest substring with at most `k` replacements, use a sliding window approach. Maintain a count of characters in the current window and track the maximum frequency of any character. If the window size minus the max frequency exceeds `k`, shrink the window from the left. The result is the maximum length of such a substring."
"You are given an integer array piles where piles[i] is the number of bananas in the ith pile. You are also given an integer h, which represents the number of hours you have to eat all the bananas.

You may decide your bananas-per-hour eating rate of k. Each hour, you may choose a pile of bananas and eats k bananas from that pile. If the pile has less than k bananas, you may finish eating the pile but you can not eat from another pile in the same hour.

Return the minimum integer k such that you can eat all the bananas within h hours.

Example 1:

Input: piles = [1,4,3,2], h = 9

Output: 2","class Solution:
    def minEatingSpeed(self, piles: List[int], h: int) -> int:
        l, r = 1, max(piles)
        res = r

        while l <= r:
            k = (l + r) // 2

            totalTime = 0
            for p in piles:
                totalTime += math.ceil(float(p) / k)
            if totalTime <= h:
                res = k
                r = k - 1
            else:
                l = k + 1
        return res
","To find the minimum eating rate `k` to finish all banana piles within `h` hours, use binary search between 1 and the maximum pile size. For each mid-point `k`, calculate the total hours needed to eat all bananas. If the total hours are within `h`, adjust the search range to find a smaller `k`; otherwise, increase `k`. The result is the minimum `k` that allows eating all bananas within `h` hours."
"You are given the head of a singly linked-list.

The positions of a linked list of length = 7 for example, can intially be represented as:

[0, 1, 2, 3, 4, 5, 6]

Reorder the nodes of the linked list to be in the following order:

[0, 6, 1, 5, 2, 4, 3]

Notice that in the general case for a list of length = n the nodes are reordered to be in the following order:

[0, n-1, 1, n-2, 2, n-3, ...]

You may not modify the values in the list's nodes, but instead you must reorder the nodes themselves.

Example 1:

Input: head = [2,4,6,8]

Output: [2,8,4,6]","class Solution:
    def reorderList(self, head: Optional[ListNode]) -> None:
        slow, fast = head, head.next
        while fast and fast.next:
            slow = slow.next
            fast = fast.next.next

        second = slow.next
        prev = slow.next = None
        while second:
            tmp = second.next
            second.next = prev
            prev = second
            second = tmp

        first, second = head, prev
        while second:
            tmp1, tmp2 = first.next, second.next
            first.next = second
            second.next = tmp1
            first, second = tmp1, tmp2
","To reorder a singly linked list in the specified pattern, first use the slow and fast pointer technique to find the middle of the list. Reverse the second half of the list. Then, merge the two halves by alternating nodes from each half. This rearranges the nodes in the required order without modifying their values."
